-a	-M/REM
bagy-	break-	v
baga-	break-	v
baḥar	lake	sea	n	Ar.
bakaloris	baccalaureate	n	Ar.
bakra	lamb	n
bakr	lamb	n
bala	without	prep	Ar.
balad	country	n	Ar.
baladiyye	municipality	n	Ar.
balāṭa	floor.tile	n	Ar.
balɣe	sandals	n
balki	maybe	part	Ar.
balkon	balcony	n	Ar.
balwi	bracelet	n
ban-	tie/shut-	v
bandora	tomato	n	Ar.
bank	bank	n	Ar.
bantalon	trousers	n	Ar.
baqa-	still/keep-	v aux	Ar.
baqara	cow	n	Ar.
bāqi	rest	n	Ar.
bar	brother	n
bā̀r	brother	n
bār	brother	n
bara	outside	adv
barari	wilderness	n
barda	full	adj
bard-	full-	adj
bàrd-	full-	adj
bàrd	full	adj
bardo	also	part	Ar.
bariṭāniya	Britain	n	Ar.
barwe	eyebrows	n
basātīn	groves	n	Ar.
bāsbort	passport	n	Ar.
bass	but/only	conj	Ar.
bas	but/only	conj	Ar.
baṭṭilahr-	stop-	v	Ar.
bawusk-	kiss-	v	Ar.
baxt	luck	n	Ar.	Kurd.
bay	wife	n
bāy	wife	n
baʕd	after	prep	Ar.
baʕad	after	prep	Ar.
baʕḍ	each.other	pron	Ar.
baʕdēn	then	part	Ar.
bàʕdēn	then	PART	Ar.
bɔy	father	n
bā̀y	father	n
ben	sister	n
bēn	between	prep	Ar.
bḥudūd	around	prep	Ar.
bi	for/in	prep	Ar.
bidd-	want-	v aux	Ar.
bīɣ	moustache	n	Turk.
biḥayāti	during my life	ever	adv	Ar.
bil’āxir	finally	adv	Ar.
bil'awwal	initially	firstly	adv	Ar.
binisba	as/for	prep	Ar.
bisawahr-	be.married-	v	Ar.
bisawak-	marry.off-	v	Ar.
bīṭ	earth	n
bīt	earth	n
bīt-	earth	n
bitindžan	aubergine	n	Ar.
biyyinna	coward	n
biyyiš	fear	n
bi-zyāde	excessively	adv	Ar.
bizzōṭ	poor	adj
bkara	hungry	adj
bkara-	hungry-	adj
bnaw-	frighten-	v
bol	much/very	adv
bostadži	postman	n	Ar.
brari	cat	n
bsuṭahr-	be.happy-	v	Ar.
bta’rīx	with.date	on	adv	Ar.
buks	punch	n	Ar.
bul	arse	n
burdkān	oranges	n	Ar.
burɣul	bulgur	n	Ar.
bustān	grove	n	Ar.
by-	fear-	v
b-	fear-	v
bʕīd	far	adj	Ar.
č-	say-	v
čanč-	next.to	prep
čar-	hide-	v
čin-	cut-	v
čīnak	a.little	adv
čōna	boy	n
d-	give-	v
t-	give-	v
da’iman	always	adv	Ar.
dabāba	tank	n	Ar.
dabāyiḥ	slaughtered.animals	n	Ar.
dabbirk-	organise/manage-	v	Ar.
dadi	grandmother	n
dafr	paw	n
dafr-	paw	n
dakātre	doctors	n	Ar.
dakkākīne	shops	n	Ar.
danab	tail	n	Ar.
danab-	tail	n	Ar.
danānīr	dinars	n	Ar.
dari	place	n	Kurd.
dar	place	n	Kurd.
dary	place	n	Kurd.
deri	place	n	Kurd.
der	place	n	Kurd.
daw-	dance	v
dawāy	camel	n
dawla	country	n	Ar.
dawra	course	n	Ar.
day	mother	n
dāy	mother	n
dbīḥa	slaughtered animal	n	Ar.
dɔw-	wash	v
dɔwīš	shower	n
dēy	village	n	Kurd.
dfink-	bury-	v	Ar.
dfiʕk-	pay-	v	Ar.
di	two	num
dī	two	num
dīnē	two	num
dinē	two	num
diknaw-	show-	v
dīl	sand	n
dīn	religion/two	n	Ar.
dīnar	dinar	n	Ar.
dinya	life/world	n	Ar.
dīr	daughter	n
dira	far.away	adj
dirga	long	adj
dirg-	long	adj
dis	day	n
dīs	day	n
disan	in.the.daytime	adv
diyarahr-	appear-	v	Ar.
diyyes	two	num
dōm	Dom	n
dōmarī	Domari	n
dōmiya	Dom.woman	n
dōw	laddle	n
dozdan	wallet	n
dr-	cut-	v
dird-	cut-	v
dra-	tear-	v
dird-	tear-	v
drak	grapes	n
drara	rich	adj
drar-	rich	adj
driho-	get.used.to-	v
drīr-	broken-	adj
dud	milk	n
dūd	worm	n
duɣri	immediately/straight	adv	Ar.
dukkān	shop	n	Ar.
dusara	black	adj
dusar-	black-	adj
dʕr-	plough-	v	Ar.
ḍallo	stay/keep	v aux	Ar.
ḍaman	insurance	n	Ar.
ḍanḍ	tooth	n
ḍēf	guest	n	Ar.
ḍiḍ	against	prep	Ar.
ḍimn	among	prep	Ar.
ḍiyyiq	narrow	adj	Ar.
ḍuhur	noon	adv	Ar.
dža-	go-	v
dž-	go-	v
dža	go	v
gar-	go-	v
ga-	go-	v
džabal	mountain	n	Ar.
džabark- 	force-	v	Ar.
džahizk-	prepare-	v	Ar.
džal-	send-	v
džamāʕat	group	n	Ar.
džamb	next.to	prep	Ar.
džamīʕ	all	quant	Ar.
džāmiʕ	mosque	n	Ar.
džāmiʕe	university	n	Ar.
džan-	know-	v
džanāḥ	wing	n	Ar.
džār	neighbour	n	Ar.
džarīde	newspaper	n	Ar.
džariḥ	wound	n	Ar.
džatir	son.in.law	n
džatri	daughter.in.law	n
džaw	barley	n
džawwaz-	marry-	v	Ar.
džawwizahr-	marry-	v	Ar.
džawwizk-	marry.off-	v	Ar.
džažan	pregnant	adj
džazma	boot	n
džēb	pocket	n	Ar.
džēš	army	n	Ar.
džib	tongue	n
džidd	grandfather	n	Ar.
džīl	generation	n	Ar.
džild	leather	n	Ar.
džoz	pair	n	Ar.
džūdža	Egypt	n
džumʕa	week	n	Ar.
džuw	louse	n
džuwir	woman	n
džuwr	woman	n
ehe	these.pl	pron
eh-	become-	v
ekak	one.M	pron
eme	we	pron
eran	these.OBL.PL	pron
eras	this.OBL.M	pron
erhēnà	here
erhōna	there
ēmŭɣar	cave
ē	this
f-	hit-	v
fe-	hit-	v
fēr-	hit-	v
fē-	hit-	v
fā-	hit-	v
fāḍi	empty	adj	Ar.
fadž'a	suddenly	adv	Ar.
fakkirho-	think-	v	Ar.
fall	sack	n
fallitk-	release-	v	Ar.
falit-	escape-	v	Ar.
fardžik-	show-	v	Ar.
farn	oven	n	Ar.
farraḥkar-	rejoice-	v	Ar.
farridžk-	watch-	to show	v	Ar.
farša	mattress	n	Ar.
farwa	fur	n	Ar.
farw	fur	n	Ar.
farw-	fur	n	Ar.
faržīk-	show-	v	Ar.
fatra	period	n	Ar.
fauran	immediately	adv	Ar.
fawāke	fruit	n	Ar.
fayiš	argument	fight	n
fḍaḥk-	scandalize-	v	Ar.
fhimho-	understand-	v	Ar.
fī	in	prep	Ar.
fikkiro-	think-	v	Ar.
filān	whoever	pron	Ar.
findžān	cup	n	Ar.
fraɣe	clothing	n	Ar.
ftuḥk-	conquer-	v	Ar.
fumn-	hit-	v
fēr-	hit-	v
funduq	hotel	n	Ar.
gāk-	speak-	v
gagid-	speak	v
gal	PART	Ar.
qal	PART	Ar.
qāl	PART	Ar.	Mac
gali	cheek	n
gam	dusk	n
gān	smell	n
garda	well	adj
gard-	well-	adj
gari	jar	n
gaz-	bite-	v
gazid-	bit-	v
gēna	again	adv	Turk.
gēsu	wheat	n
ghāy	good	adj
gir-	return-	v
giry-	enter-	v
giš	all	quant	Kurd.
gīs	manure/excrement	n
gištane	all	quant	Kurd.
godi	brain	n
gori	horse	n
gorwi	cow	n
gorw	cow	n
gōrw	cow	n
gōrū	cow	n	Mac
gōru	cow	n	Mac
grawara	head.man	n	Kurd.
grēfk-	sing-	v
gulda	sweet	adj
guld-	sweet-	adj
gulda	tea	n
guldīdēy	Hebron	n
gurgi	neck/throat	n
guzel	good/true	adj	Turk.
guzel-	good/true-	adj	Turk.
ɣali	expensive	adj	Ar.
ɣannik-	sing-	v	Ar.
ɣarīb	stranger	n	Ar.
ɣarīf	loaf	n	Ar.
ɣaṣban	without.consent	adv	Ar.
ɣassāle	washing.machine	n	Ar.
ɣaṭṭik-	cover-	v	Ar.
ɣayyirk-	change-	v	Ar.
ɣēr	except	prep	Ar.
ɣàir	except	prep	Ar.
ɣair	except	prep	Ar.
ɣībho-	be.absent-	v	Ar.
ɣīr	jealous	adj	Ar.
ɣrāb	raven	n	Ar.
ɣudurk-	betray-	v	Ar.
ɣul	ghoul/beast	n	Ar.
ɣurfe	room	n	Ar.
ɣusk-	stab-	v	Ar.
hà	PART
hada	PART	Ar.
hàdi	PART	Ar.
hawā	air	n	Ar.
hawiyye	identity.card	n	Ar.
hay	this	part	Ar.
hdžimk-	attack-	v	Ar.
hēk	like.this	adv	Ar.
hessaʕ	now	adv	Ar.
hassaʕ	now	adv	Ar.
hasan	Hasan	Ar.
heyka	PART	Ar.
hindar	here	adv
hnēn	here	adv
hnēna	here	adv
hnon	there	adv
hnōna	there	adv
hnōnà	there	adv
hnūd	Indians	n	Ar.
hōš-	become-	v
hotēl	hotel	n	Ar.
hundar	there	adv
ḥabba	grain	n	Ar.
ḥabel	rope	n	Ar.
ḥabs	prison	n	Ar.
ḥaddād	blacksmith	n	Ar.
ḥadīd	iron	n	Ar.
ḥādis	accident	n	Ar.
ḥādzak	something	indef	Ar.
ḥafla	party	n	Ar.
ḥākim	governor	n	Ar.
ḥal	self	pron	Ar.
ḥàl	self	pron	Ar.	Mac
ḥàl-	self	pron	Ar.	Mac
ḥalīb	milk	n	Ar.
ḥanafiyye	tap	n	Ar.
ḥaqq	right	n	Ar.
ḥaram	blanket	n	Ar.
ḥarb	war	n	Ar.
ḥāris	guard	n	Ar.
ḥāṣil	conclusion	n	Ar.
ḥasan	Hasan	n	Ar.
ḥasinahr-	improve-	v	Ar.
ḥašīš	grass	n	Ar.
ḥašīšī	grass	n	Ar.
ḥatta	even	part	Ar.
ḥawālī	around	prep	Ar.
ḥawilk-	try-	v	Ar.
ḥawuk-	drive.away-	v	Ar.
ḥaywān	animal	n	Ar.
ḥbisahr-	be.imprisoned-	v	Ar.
ḥdaʕšr	eleven	num	Ar.
ḥdimk-	serve-	v	Ar.
ḥēṭ	wall	n	Ar.
ḥfuḍk-	protect-	v	Ar.
ḥibbo-	like-	v	Ar.
ḥissahr-	feel-	v	Ar.
ḥižr	lap	n	Ar.
ḥkumk-	sentence-	v	Ar.
ḥsāb	expense	n	Ar.
ḥruṭ-	plough	v	Ar.
ḥruṭ	plough	v	Ar.
ḥirt-	plough	v	Ar.
ḥirt	plough	v	Ar.
ḥsubk-	calculate-	n	Ar.
ḥṣud	harvest	n	Ar.
ḥšur	cramp	n	Ar.
ḥubb	love	n	Ar.
ḥuḍn	hug	n	Ar.
ḥukūme	government	n	Ar.
ḥummuṣ	hummus	n	Ar.
ḥurāṣ	guards	n	Ar.
ḥurr	free	adj	Ar.
idž	spirit	n	Ar.
ihi	this.F	pron
iḥ-	become-	v	Ar.
iḥmarrahr-	become.red-	v	Ar.
ihni	so.like.this	adv
iḥṣa’	census	n	Ar.
iḥtallahr-	occupy-	v	Ar.
iḥtifilo-	celebrate-	v	Ar.
iḥtirām	respect	n	Ar.
ikak	one	pron
yikàk	one	pron	Mac
iki	eye	n
illa	except	prep	Ar.
illi	REL	pron	Ar.
il-muhimm	anyway	part	Ar.
il-urdunn	Jordann	n	Ar.
indžannahr-	go.crazy-	v	Ar.
indžawizahr-	get.married-	v	Ar.
inglīz	English	n	Ar.
inkān	if	conj	Ar.
inn 	that	part	Ar.
inni	that	part	Ar.
inno	that	part	Ar.
intaqimahr-	take.revenge-	v	Ar.
intaxxahr-	be.shot-	v	Ar.
iṣbaʕ	finger	n	Ar.
isbūʕ	week	n	Ar.
iš	there.is	v	Kareem
iši	thing	pron	part	Ar.
išk	dry	adj
išk-	dry-	adj
isrā’īl	Israel	n	Ar.
istawṭunahr-	settle-	v	Ar.
itme	you.PL	pron
iyyā-	OBJ	pron	Ar.
iyyām	days	n	Ar.
iza	if	conj	Ar.
izāʕa	radio.station	n	Ar.
iʕtidahr-	rape-	v	Ar.
k-	prepare-	v
kid-	prepare-	v
kabbūd	coat	n	Ar.
kadža	non.Dom.man	n
kadži	non.Dom.woman	n
kadždži	non.Dom.woman	n
kadždž	non.Dom	n
kafi	door	n	Turk.
kapi	door	n	Turk.
kahindo-	look.at-	v
kahraba	electricity	n	Ar.
kahri	bowl	n
kākī-	POSS	part
kali	goat	n
kam	work	n
kam-	work	n
kamk-	work-	v
kan	ear	n
kān	who/which/was	pron/v.aux	/Ar.
kar-	do-	v
kar	do	v
karamakē	please	adv	Kurd.
karīm	generous	adj	Ar.
kart	card	n	Ar.
karwi	coffee	n
kasa	cup	n	Ar.
kaškōṭ	small	adj
kaškōṭ-	small-	adj
kašt	wooden stick	n
kašṭōṭ	small	adj
kašṭōṭ-	small-	adj
štot-	small-	adj
štot	small-	adj
kata	where	pron
katnī	fart	n
kawax	when	pron
kāz	gas	n	Ar.
kē	what	pron
kēkē	how/why	pron
kel-	play-	v
kēnē	how	pron
ki	what	pron
kibda	liver	n	Ar.
kil-	exit/descend-	v
killšī	everything	pron	Ar.
kīlo	kilo	n	Ar.
kīs	bag	n	Ar.
kišin	lie	n
kišinna	liar	n
kišnaw-	tell.a.lie-	v
kitāb	book	n	Ar.
kiyyak	something	a little	pron
klaw-	lower-	v
kn-	sell-
kind-	sell-	v
knēn	where	pron
komir	coal	n	Turk.
kōr	blind	adj
kōr-	blind-	adj
koš	beard	n
kos-	curse-	v
kosed-	curse-	v
krāde	Kurds	n	Ar.
krēn	where	pron
kšal-	pull-	v
ktibk-	write-	v	Ar.
ktāf	shoulder	n	Ar.
ktīr	Christian	n
kubāy	cup	n	Ar.
kull	every	quant	Ar.
kumn-	eat-	v	Mac.
kundare	shoes	n	Ar.
kurdī	Kurd	n	Ar.
kuri	house	n
kur	house	n
kori	house	n
kor	house	n
kory	house	n
koriy	house	n
kurt-	short-	adj	Kurd.
kuy-	fall-	v
kw-	throw-	v
kurd-	throw-	v
la	in.order.to/no	part	Ar.
la’inn-	because-	conj	Ar.
lāči	girl	n
ladžik-	be.shy-	v
lagan	bowl	n
laɣāyet	till	conj	Ar.
laɣēr	except	prep	Ar.
lagiš	fight/quarrel	n
lagišk-	fight-	v
lah-	see-	v
laherd-	see-	v
laḥadd	till	prep	Ar.
laḥāl-	alone	adj	Ar.
laḥank-	compose-	v	Ar.
lak-	see-	v
laked-	see-	v
lamba	lamp/lantern	n	Ar.
lamlimk-	collect-	v	Ar.
lamma	when	conj	Ar.
las	mud	n
law	if	conj	Ar.
lawla	except/unless	conj	Ar.
lāzem 	must	v aux	Ar.
l-ḥāṣil	anyway	part	Ar.
li	REL	pron	Ar.
li’inn-	because	conj	Ar.
libnān	Lebanon	n	Ar.
lidd	Lydda	n	Ar.
limk-	earn-	v	Ar.
līra	Lira	n	Ar.
lissa	still	adv	Ar.
lon	salt	n
lxamīs	Thursday	adv	Ar.
ma	not	part
ma	COMP	part	Ar.
mablūl	wet	adj	Ar.
mabṣūṭ	happy	adj	Ar.
madāris	schools	n	Ar.
maḥkame	court	trial	n	Ar.
mahma	whatever	pron	Ar.
mahr	dowry	n	Ar.
mak-	rub-	v
makanse	broom	n	Ar.
maktab	office	n	Ar.
malik	king	n	Ar.
malyon	million	num	Ar.
mām	paternal.uncle	n	Kurd.
māmi	paternal.aunt	n	Kurd.
mamluḥ	salted	adj	Ar.
mamnūʕ	forbidden	adj	Ar.
man-	stay/leave-	v
mana	bread	n
manāzir	scenes	n	Ar.
manaʕk-	prevent-	v	Ar.
mandža	inside	adv
mandž	inside	adv
mandž-	inside	adv
mang-	want-	v
mangiš	begging	n
mangišk-	go.begging-	v
mangšinna	beggar	n
manik-	bake-	v
manus	person	n
many-	stay-	v
mar-	kill-	v
maraḥīd	toilets	n	Ar.
markaz	centre	n	Ar.
marra	once	pron	Ar.
marrāt	sometimes	pron	Ar.
mary-	die-	v
mra-	die-	v
m-	die-	v
mas	month	n
mašākle	problems	n	Ar.
masalan	for.example	adv	Ar.
mašɣūl	busy	adj	Ar.
masi	meat	n
māsy	meat	n
māsy-	meat	n
mās	meat	n
māsi	meat	n
maṣīr	destiny	n	Ar.
māst	yoghurt	n	Kurd.
māsūra	tube	n	Ar.
maṭ	person	n
màt-e	person-PL	n
maṭ	somebody	pron
mawāl	mawal	n	Ar.
mawzafīn	employees	n	Ar.
maxfar	police station	n	Ar.
maẓbaṭ	petition	n	Ar.
mažīdiyak	20.pence	n	Ar.
maʕ	with	prep	Ar.
maʕāš	salary	n	Ar.
maʕaskar	camp	n	Ar.
maʕbaʕḍ	together	adv	Ar.
mēdžī	lentils	n
mēšī-	from	prep	Ar.
mfalla	crazy	adj
mfall-	crazy-	adj
miftāḥ	key	n	Ar.
min	from	prep	Ar.
min-	hold-	v
mīn-	hold-	v	Mac
minaw-	cause.to.take-	v
mind-	stand-	v
mindir-	stand-	v
mindirš-	stand-	v
mindž 	in	prep	Ar.
minēn	here	adv
minɣēr	without	prep	Ar.
minšān	for	prep	conj	Ar.
minšī-	from	prep	Ar.
mirna	dead.person	n
misilmīn	Muslims	n	Ar.
mišš	NEG	part	Ar.
muš	NEG	part	Ar.
miš	NEG	part	Ar.
mišt-	kiss-	v
mištird-	kiss-	v
mišta	ill	adj
mištwāy	illness	n
miʕād	appointment	n	Ar.
mīnd-	stay-	v
mlāye	chador	n	Ar.
mōsam	season	n
moz	bananas	n	Ar.
moza	shoe	n
msiḥk-	wipe-	v	Ar.
muddaʕi	prosecutor	n	Ar.
mudīr	director	n	Ar.
muɣrub	evening	n	Ar.
muh	face	n
muḥāmi	lawyer	n	Ar.
mumkin	possible	adj	Ar.
musāʕade	help	n	Ar.
mušš	not	part	Ar.
mustašfa	hospital	n	Ar.
mutardžim	translator	n	Ar.
mutbax	kitchen	n	Ar.
muṭur	urine	n
muxtār	mayor	n	Ar.
mŭɣar	cave	n	Mac
mwaẓẓaf	employee	n	Ar.
mʕalme	teacher	n	Ar.
na	NEG	part
nāblis	Nablus	n	Ar.
naḍḍifk-	clean-	v	Ar.
naddimk-	regret-	v	Ar.
nadīk-	call-	v	Ar.
nadi-	call-	v	Ar.
nafar	person	n	Kurd.
nām	name	n
nan-	bring-	v
nan	bring	v
nāšif	dry	adj	Ar.
našīš	dance	n
nast-	escape-	v
nasr-	escape-	v
nas-	escape-	v
našy-	dance-	v
naw-	search-	v
nawr-	search-	v
nawa	new	adj
naʕdža	female sheep	n	Ar.
nḍīf	clean	adj	Ar.
ndžūm	stars	n	Ar.
nē-	send-	v
nēn	where	pron	Kareem
nērd-	send-	v
nhe’	there.is.not	v
nihe'	there.is.not	v 
nhīr	blood	n
nikš-	enter-	v
nigr-	enter-	v
nig-	enter-	v
nīm	half	num	Pers.
nimr	panther	n	Ar.
nimr-	panther	n	Ar.
nimir	panther	n	Ar.
nimir-	panther	n	Ar.
nimer	panther	n	Ar.
nimer-	panther	n	Ar.
ningaw-	take- in	v
niswān	women	n	Ar.
nkī-	at/by0	prep
nohra	red/English	adj
nohri	tomato	n
nohr-	red-	adj
nqulahr-	move-	v	Ar.
nṭaḥ-	strike-	v	Ar.
ora-	that.OBL	pron
or-	that.OBL	pron
ošt	lip	n
pāči	behind	prep
pand	road	n
pandžan	they	pron
pandžī	he/she	pron
pandži	he/she	pron
pani	water	n
pany	water	n
pany-	water	n
bāni	water	n
bāny	water	n
bāny-	water	n
par-	take-	v
payy	husband	n
pɔw	foot	n
pēn-	take.out-	v
peṭ	belly	n
pirin	nose	n
piskī	fart	n
pišnaw-	spend-	v
pišt	back	n
ple	money	n	Pers.
prana	white	adj
pran-	white-	adj
protkīla	Jew	n
protkīliya	Jewess	n
putur	son	n
putr	son	n
putr-	son	n
botr	son	n
botr-	son	n
potr	son	n
potr-	son	n
pʌndžes	five	num
py-	drink-	v	
pīr-	drink-	v
pī	drink	v
pī-	drink-	v
q-	eat-	v
qa-	eat-	v	Mac
qà-	eat-	v	Mac
qā-	eat-	v	Mac
qàrw	eat	v	Mac
qār-	eat-	v	Mac
qār	eat	v	Mac
qēr-	eat-	v
qē-	eat-	v
qēy-	eat-	v
qabel	before	prep	Ar.
qabīla	tribe	n	Ar.
qabr	grave	n	Ar.
qaddēš	how.much	pron	Ar.
qaddima-	push-	v	Ar.
qādi	judge	n	Ar.
qaf	paw	n	Ar.
qaft-	steal-	v
qaftinna	thief	n
qahwa	coffee	n	Ar.
qal	PART	Ar.
qala	black	adj
qal-	black	adj
qalam	pencil/pen	n	Ar.
qamar	moon	n	Ar.
qamīṣ	shirt	n	Ar.
qandi	throat	n
qāqa	raven	n	Ar.
qar	donkey	n
qarā'ibe	relatives	n	Ar.
qarāib	relatives	n	Ar.
qarn	horn	n	Ar.
qarwa	bitter	adj
qarw-	bitter	adj.
qarwi	coffee	n
qatla	beating	n	Ar.
qayīš	food	n
qayišk-	cook-	v
qayk-	vomit-	v
qēyiš	food	n
qḥuṭk-	scratch-	v	Ar.
qird	monkey	n	Ar.
qirš	penny	n	Ar.
qnaw-	feed-	v
qoḥk-	cough-	v
qol-	open/ride-	v
qowa	prophet	n
qrara	Bedouin/Jordanian	n
qrare	Jordan	n
qrar	Bedouin	n
qrar-	Bedouin	n
qrik-	read-	v	Ar.
qrūn	horns	v	Ar.
qumn-	eat-	v	
qēr-	eat-	v
qumna	eat	v
quššk-	sweep-	v	Ar.
rabbāba	rabbaba	n	Ar.
rabbik-	raise-	v	Ar.
radž- 	throw.out-	radžid-	v
raqqasāt	dancers	n	Ar.
rašt-	arrive-	v
rasr-	arrive-	v
ratl	pound	n	Ar.
raw-	travel-	v
rawàḥ-	go-	v	Ar.
rawwaḥahr-	leave-	v	Ar.
rawwaḥk-	send.away-	v	Ar.
rɔw-	weep-	v
rdahr-	reject/refuse-	v	Ar.
rīš	feather	n
romḥ	spear	n	Ar.
roš-	cry-	v
rɔw-	cry-	v
rɔwr 	cry-	v
row-	cry-	v
rqāqa	crumb	n	Ar.
rsīs	black.olive	n
rudahr-	accept-	v	Ar.
rxīṣ	cheap	adj	Ar.
s’ilk-	ask-	v	Ar.
sabab	reason	n	Ar.
sabaḥtan	in.the.morning	adv	Turk.
sabàḥtan	in.the.morning	adv
sabt	Saturday	adv	Ar.
sābūn	soap	n	Ar.
sabʕa	seven	num	Ar.
sadžar	tree	n	Ar.
saffirk-	deport-	v	Ar.
sahra	soiree	n	Ar.
sahrān	awake	adj	Ar.
saka-	be.able.to-
sakkir-	shut-	v	Ar.
sakkirk-	shut-	v	Ar.
sał	rice	n	Kurd.
sallik-	pray-	v	Ar.
samak	fish	n	Ar.
sap	snake	n
sawa	together	adv	Ar.
sāyiɣ	goldsmith	n	Ar.
sayyak	one.hundred	num
sayyāra	car	n	Ar.
sayyifk-	spend.the.summer-	v	Ar.
sɔw-	sew-	v
sɔwr-	sew-	v
sēf	summer	n	Ar.
sēʕa	hour	n	Ar.
sidžin	prison	n	Ar.
sīḥk-	shout-	v	Ar.
silda	cold	adj
sild-	cold-	adj
silif	sibling.in.law	n	Ar.
siri	head	n
siry	head	n
siry-	head	n
sitaʕšr	sixteen	num	Ar.
sitte	six	num	Ar.
sittīn	sixty	num	Ar.
skunahr-	live-	v	Ar.
skurrahr-	get.drunk-	v	Ar.
sn-	hear-	v
sind-	hear-	v
sin-	hear-	v
sin	hear	v
snaw-	inform-	v
sōni	girl	n
spital	hospital	n	Ar.
stannho-	wait-	v	Ar.
staʕmilk-	use-	v	Ar.
sukkar	sugar	n	Ar.
sūq	market	n	Ar.
ṣab	snake	n
ṣādīq	friend	n	Ar.
ṣahạfī	journalist	n	Ar.
ṣāḥib	friend	n	Ar.
ṣāḥb	friend	n	Ar.
ṣaḥn	plate	n	Ar.
ṣār	begin-	v aux	Ar.
ṣaraṭān	cancer	n	Ar.
ṣawwirk-	photograph-	v	Ar.
ṣbuqh-	precede-	v	Ar.
ṣnoṭa	dog	n
ṣrifk-	spend-	v	Ar.
ṣūmk-	fast-	v	Ar.
š-	say-	v
šird-	say-	v
štrik-	buy-	v	Ar.
šrik-	buy-	v	Ar.
štri-	buy-	v	Ar.
šri-	buy-	v	Ar.
šabābīk	windows	n	Ar.
šahāda	certificate	n	Ar.
šał	well/waterhole	n	Kurd.
šāł-	well/waterhole	n	Kurd.
šām	Syria	n	Ar.
šamāl	North	n	Ar.
šanda	bad	adj
šaqfa	piece	n	Ar.
šar-	hide-	v
šār-	hide-	v
šāreʕ	street	n	Ar.
šariš	hideout	n
šary-	hide-	v
šatik-	spend.the.winter-	v	Ar.
šattifk-	dry-	v	Ar.
šattitahr-	wander-	v	Ar.
šawādir	nylon.covers	n	Ar.
šbiqk-	precede-	v	Ar.
šhidahr-	witness-	v	Ar.
šibbāk	window	n	Ar.
šifk-	spit-	v	Ar.
šimmk-	smell-	to breathe	v	Ar.
šīnak	a.little	pron
šiši	breast	n
šita	winter	n	Ar.
šliḥk-	take.off-	v	Ar.
šmāriya	chicken	n
šmāriy	chicken	n
šmāriy-	chicken	n
šmary	chicken	n
šmary-	chicken	n
šōna	boy	n
šōn-	non.Dom.children	n
št-	rise/stand-	v
štal-	carry/raise-	v
štares	four	num
šukkahr-	suspect-	v	Ar.
šukna	oil	n
šuri	knife	n
šur	knife	n
čiri	knife	n	Mac
čir	knife	n	Mac
šūš-	sleep-	v
šū-	sleep-	v
sit-	sleep.PFV-	v
sit-om	sleep.PFV-1SG
sit-or	sleep.PFV-2SG
sit-a	sleep.PFV-3SG.M
sit-i	sleep.PFV-3SG.F
sit-ēn	sleep.PFV-1PL
sit-ēs	sleep.PFV-2PL
sit-e	sleep.PFV-3PL
sit-om-i	sleep.PFV-1SG-PRES
sit-or-i	sleep.PFV-2SG-PRES
sit-ēk	sleep.PFV-3SG.M.PRES
sit-ik	sleep.PFV-3SG.F.PRES
sit-ēn-i	sleep.PFV-1PL-PRES
sit-ēs-i	sleep.PFV-2PL-PRES
sit-ēd-i	sleep.PFV-3PL-PRES
sit-om-a	sleep.PFV-1SG-REM
sit-or-a	sleep.PFV-2SG-REM
sit-ēy-a	sleep.PFV-3SG.M-REM
sit-īy-a	sleep.PFV-3SG.F-REM
sit-ēn-a	sleep.PFV-1PL-REM
sit-ēs-a	sleep.PFV-2PL-REM
sit-ēd-a	sleep.PFV-3PL-REM
šw-	say-	v
šird-	say-	v
t-	put-	v
tird-	put-	v
talataʕš	thirteen	num	Ar.
talatīn	thirty	num	Ar.
taldž	snow	ice	n	Ar.
talidžahr-	freeze-	v	Ar.
tālit	third	num	Ar.
tallādže	refrigerator	n	Ar.
tamāni	eight	num	Ar.
tamāniya	eight	num	Ar.
tamanīn	eighty	num	Ar.
tanaka	tank/pot	n	Ar.
tanga	narrow	adj
tānī	other/second/again	num	Ar.
taqāʕud	pension	n	Ar.
taran	three	num
taranis	three	num
tarna	young	adj
tarn-	young-
tata	hot	adj
tat-	hot-	adj
tawle	table	m	Ar.
tawna	thin	adj
telefizyon	television	n	Ar.
telefon	telephone	n	Ar.
televizōn	television	n	Ar.
tfang	gun	n	Kurd.
thimk-	accuse-	v	Ar.
tiknaw-	hurt-	v
tilla	big	adj
till-	big-	adj
tillà-	grow-	v	Mac
tirsala	thirsty	adj
tirsala-	thirsty-	adj
tisʕa	nine	num	Ar.
titin	tobacco	n	Kurd.
tmali	soldier	n
tmaliy	soldier	n
tnaʕš	twelve	num	Ar.
tošahr-	wander-	v	Ar.
tōr	ox
tōr-	ox
trāb	dust	n	Ar.
trombil	car	n	Ar.
tundžar	pot	n	Ar.
turdžman	translator	n	Ar.
turki	Turkish	n	Ar.
tuxxk-	shoot-	v	Ar.
tw-	put-	v
tīr-	put-	v
tird-	put-	v
twādžidahr-	be.found-	v	Ar.
tʕallimahr-	learn-	v	Ar.
ṭabʕan	of.course	adv	Ar.
ṭaliq	divorce	n	Ar.
ṭan	bed/mattress	n
ṭarmabil	car	n	Ar.
ṭaṭ	sun/Arab	n
ṭàṭ sun/Arab	n
ṭāṭ	Arab/villager	n
ṭayyeb	good	part	Ar.
ṭēr	bird	n	Ar.
